Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ChEA_2022	ZNF217 24962896 ChIP-Seq MCF-7 Human	63/1289	9.710118e-17	7.185488e-14	0	0	3.921734e+00	1.445974e+02	TES;RASEF;ICA1;AREG;CDH1;SPIN1;ENPP2;SEC61B;SAMD12;SOX4;DSP;EDN1;ATP6V1G1;ELOVL5;ANXA4;KCNH8;NSMCE2;KRT8;VPS13B;SHROOM3;COBL;WDR72;DUSP6;SYTL2;KIAA1217;CLDN4;PRPF18;DAD1;ESRP1;NCOA7;TRIB1;CDH17;MET;LLGL2;NPSR1;NEDD9;CXCR4;TNFRSF11B;TOB1;MTDH;STK3;EFNB2;PTDSS1;RAD21;MAL2;AGR3;RHPN2;STX3;UBE2H;PTPRN2;DTNA;GSN;HOMER1;RAB3IP;PLEKHA5;KLF4;GRHL2;CPPED1;MYO1E;KRT18;MYO5C;ID1;NFE2L3
ChEA_2022	PRDM5 23873026 ChIP-Seq MEFs Mouse	41/873	1.498893e-10	5.545903e-08	0	0	3.521011e+00	7.964922e+01	DDR1;HBS1L;TES;PPP1R10;ZFAND5;ARPC5L;CLTA;PTDSS1;BCLAF1;HINT3;SPIN1;FLOT1;UBQLN1;MAL2;AGR3;SEC61B;ATG5;TMEM14C;DSP;ZNF165;BRD2;EDN1;ATP6V1G1;UBE2H;SUN1;GSN;HOMER1;HSPA5;YIPF3;CAV2;RBM18;EIF2AK1;NSMCE2;COBL;GRHL2;GGCT;RHEB;ESRP1;TAX1BP1;NCOA7;MET
ChEA_2022	ESR1 26153859 ChIP-Seq MCF-7 Human BreastCancer	98/3597	1.361827e-09	3.359174e-07	0	0	2.191389e+00	4.473598e+01	WASHC5;PATJ;RPL30;TES;RIF1;ZNF292;ZFAND5;RASEF;SPINT2;RPL8;CDH1;PPFIA1;CCN3;CCN2;KPNA5;JUNB;IER3;TMEM14C;ZNF165;MYLIP;ATP6V1G1;KRT8;HLA-C;MIF;SYTL2;KIAA1217;AZGP1;CLDN4;CLDN3;LRATD2;RPL7L1;SELENOP;SELENOW;TRIB1;ATF3;LLGL2;SEH1L;MTDH;PTDSS1;MYO6;S100A14;RHPN2;ATG5;CARMIL1;ACBD5;DTNA;JUP;HSPA5;DNAH14;ARHGEF38;ISG20;GGCT;NR4A1;NDUFAF6;ID1;TRMT11;PSMG2;DDR1;C2CD5;SLC44A4;TUT7;HEXA;BRK1;HINT3;SPIN1;FLOT1;DSP;BRD2;SEC13;ANXA3;ZFR;VPS13B;TMC4;DUSP6;SUMF1;SMPDL3A;MET;HDAC2;LAMA3;TOB1;PSMB7;NT5DC1;RAB25;EPCAM;UBQLN1;MAL2;AGR3;STX3;MISP;YIPF3;MACC1;KLF4;GRHL2;CPPED1;SH3YL1;KRT19;ABI1;OCIAD2
ChEA_2022	SOX2 20726797 ChIP-Seq SW620 Human	63/1931	4.655747e-09	8.613132e-07	0	0	2.484429e+00	4.766418e+01	EPHB6;CMAS;SLC44A4;ZNF292;RASEF;THYN1;CLTA;SPINT2;AREG;LGALS4;HINT3;ITGB8;DSP;MYLIP;EDN1;ELOVL5;ANXA4;ANXA13;RECQL;COBL;WDR72;TMC4;SDCBP2;SYTL2;HLA-E;F5;CLDN4;CLDN3;CEACAM6;CLDN7;TRIB1;MET;ATF3;GOLGA8A;LAMA3;IFI6;NEDD9;NT5DC1;PARD6B;RAB25;RAD21;MYO6;MAL2;MYH14;S100A14;AP1M2;CYB5A;CDKN2B;UBE2H;PTPRN2;GSN;JUP;HSPA5;RAB3IP;STARD10;ISG15;GRHL2;VIL1;SH3YL1;RHEB;ETNK1;GOPC;OSBPL1A
ChEA_2022	FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer	100/3825	8.041663e-09	1.190166e-06	0	0	2.091341e+00	3.897972e+01	WASHC5;RPL30;SCOC;TES;ZNF292;ZFAND5;RASEF;THYN1;CAPN7;SOX4;TMEM14C;HMGN1;ZNF165;ATP6V1G1;KRT8;LMO7;MIF;SYTL2;KIAA1217;CLDN4;CLDN3;LRATD2;SUB1;RPL7L1;SELENOP;SNRPC;TRIB1;PPIA;ATF3;LLGL2;UQCRB;HACD3;ANAPC11;STK3;EFNB2;PTDSS1;ATG5;HEXIM1;CARMIL1;UBE2H;DTNA;HOMER1;JUP;CAV2;EIF2AK1;DNAH14;RAB3IP;ARHGEF38;ISG20;NR4A1;AHI1;MYO5C;CHMP2B;NFE2L3;GRB2;OSBPL1A;DDR1;HBS1L;C2CD5;SLC44A4;ICA1;CLTA;PCSK5;HERPUD1;IMMP2L;FLOT1;ITGB8;TMED4;DSP;BRD2;ELOVL5;CEMIP2;VPS13B;SHROOM3;DUSP6;F5;DAD1;ESRP1;TAX1BP1;NCOA7;NEDD9;TOB1;BCLAF1;UBQLN1;AGR3;EMC4;ETFRF1;CCT8;STX3;CDKN2B;YIPF3;MACC1;KRT10;KLF4;GRHL2;CPPED1;MYO1E;SH3YL1;LAMTOR1;PTPN2
ChEA_2022	AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	94/3565	1.888234e-08	2.328822e-06	0	0	2.082326e+00	3.703425e+01	DDR1;EPHB6;PATJ;RPL30;C2CD5;TES;SLC44A4;TUT7;ZNF292;ZFAND5;RASEF;CLTA;SMC5;BACH1;SAT1;AQP1;LAPTM4B;TMEM43;ITGB8;CCN3;KPNA5;UBXN4;JUNB;ZNF165;BRD2;MYLIP;ATP6V1G1;ELOVL5;CEMIP2;ANXA4;KCNH8;ZFR;KRT8;VPS13B;SHROOM3;COBL;LMO7;TMC4;DUSP6;F5;KIAA1217;CLDN4;CLDN3;PRPF18;SELENOS;LRATD2;SUB1;ESRP1;SELENOP;NCOA7;TRIB1;PPIA;CDH17;SMPDL3A;ATF3;LLGL2;LAMA3;NEDD9;MTDH;PSMB7;NT5DC1;ATP5F1A;EPCAM;MYO6;UBQLN1;AGR3;CEP192;RHPN2;STX3;CEP76;HEXIM1;CARMIL1;DTNA;HSPA5;CDKN2A;EIF2AK1;RAB3IP;ARHGEF38;PLEKHA5;ARPC4;KLF4;GRHL2;CPPED1;MYO1D;NR4A1;SH3YL1;KRT19;NDUFAF6;ETNK1;ABI1;TRMT11;RAMP1;FRYL;PTPN2
ChEA_2022	FOXA1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	89/3331	2.909419e-08	3.075671e-06	0	0	2.091069e+00	3.628575e+01	DDR1;EPHB6;PATJ;C2CD5;TES;SLC44A4;RIF1;ZNF292;ZFAND5;RASEF;ICA1;BACH1;PCSK5;HERPUD1;IMMP2L;CAPN7;ITGB8;CCN3;EPC2;JUNB;TMED4;ZNF165;ATP6V1G1;ANXA3;KCNH8;KRT8;VPS13B;SHROOM3;COBL;LMO7;DUSP6;HAUS1;KIAA1217;CLDN4;AEBP2;SELENOS;LRATD2;RPL7L1;ESRP1;SELENOP;TAX1BP1;SELENOW;YME1L1;NCOA7;TRIB1;SMPDL3A;LAMA3;TOB1;MTDH;NT5DC1;BCLAF1;EPCAM;RAD21;MYO6;UBQLN1;MAL2;ETFRF1;CEP192;RHPN2;STX3;HEXIM1;CARMIL1;CYB5A;CDKN2B;UBE2H;ACBD5;PTPRN2;DTNA;GSN;HSPA5;CDKN2A;YIPF3;EIF2AK1;RAB3IP;STARD10;ARHGEF38;PLEKHA5;NEB;KLF4;GRHL2;NR4A1;SH3YL1;NDUFAF6;ETNK1;ID1;LAMTOR1;OSBPL1A;RAMP1;FRYL
ChEA_2022	SMAD2 18955504 ChIP-ChIP HaCaT Human	49/1513	4.137644e-07	3.402063e-05	0	0	2.383557e+00	3.503345e+01	TES;ZFAND5;RASEF;BACH1;SAT1;SPIN1;FLOT1;ITGB8;SEC61B;PHLDA2;JUNB;IER3;DSP;ZNF165;BRD2;EDN1;ANXA3;ANXA4;KRT8;VPS13B;DUSP6;SYTL2;HLA-E;CLDN4;CLDN3;CLDN7;TAX1BP1;YME1L1;NCOA7;MET;ATF3;IDI1;TOB1;PSMB7;UBQLN1;MAL2;EGR2;GSN;HOMER1;JUP;HSPA5;TMEM176A;KLF4;GRHL2;KRT19;RHEB;ID1;PLP2;OSBPL1A
ChEA_2022	SMAD3 18955504 ChIP-ChIP HaCaT Human	49/1513	4.137644e-07	3.402063e-05	0	0	2.383557e+00	3.503345e+01	TES;ZFAND5;RASEF;BACH1;SAT1;SPIN1;FLOT1;ITGB8;SEC61B;PHLDA2;JUNB;IER3;DSP;ZNF165;BRD2;EDN1;ANXA3;ANXA4;KRT8;VPS13B;DUSP6;SYTL2;HLA-E;CLDN4;CLDN3;CLDN7;TAX1BP1;YME1L1;NCOA7;MET;ATF3;IDI1;TOB1;PSMB7;UBQLN1;MAL2;EGR2;GSN;HOMER1;JUP;HSPA5;TMEM176A;KLF4;GRHL2;KRT19;RHEB;ID1;PLP2;OSBPL1A
ChEA_2022	FOXM1 26456572 ChIP-Seq MCF-7 Human	47/1595	9.603446e-06	7.106550e-04	0	0	2.135561e+00	2.467297e+01	HDAC2;TES;ZNF292;RASEF;ICA1;NEDD9;CXCR4;TNFRSF11B;AREG;STK3;PARD6B;PTDSS1;IMMP2L;RAD21;MYO6;RSPO2;MAL2;AGR3;RHPN2;ATG5;EDN1;CDKN2B;ANXA3;ELOVL5;CAV2;ARHGEF38;KRT8;VPS13B;SHROOM3;COBL;LMO7;GRHL2;SDCBP2;DUSP6;SUMF1;VIL1;KRT18;CEACAM6;DAD1;ETNK1;MYO5C;ID1;ABI1;TAX1BP1;NCOA7;OSBPL1A;MET
