Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	TNF signaling pathway	14/112	2.936889e-06	8.223289e-04	0	0	5.070249e+00	6.458564e+01	CEBPB;JAG1;CCL20;CXCL1;CXCL3;CXCL2;ICAM1;TNFRSF1A;NFKBIA;CREB3L3;CREB3L1;IL1B;TAB2;DNM1L
KEGG_2021_Human	Legionellosis	8/57	1.753105e-04	1.380093e-02	0	0	5.745991e+00	4.969680e+01	C3;NFKBIA;IL1B;IL18;CXCL1;CXCL3;CXCL2;HSPA1A
KEGG_2021_Human	Shigellosis	18/246	2.049384e-04	1.380093e-02	0	0	2.803726e+00	2.381149e+01	SRC;IL18;ITPR2;EGFR;HK2;HK1;TNFRSF1A;C3;NFKBIA;TNIP1;IL1B;CASP4;VDAC1;TAB2;ITGA5;CD44;PPID;ARF6
KEGG_2021_Human	HIF-1 signaling pathway	11/109	2.385024e-04	1.380093e-02	0	0	3.961958e+00	3.304721e+01	LDHB;EGLN3;IFNGR1;SERPINE1;ELOB;TIMP1;TEK;HIF1A;HK2;EGFR;HK1
KEGG_2021_Human	Rheumatoid arthritis	10/93	2.709221e-04	1.380093e-02	0	0	4.248250e+00	3.489376e+01	MMP1;CCL20;IL1B;IL18;CXCL1;TCIRG1;TEK;CXCL3;CXCL2;ICAM1
KEGG_2021_Human	IL-17 signaling pathway	10/94	2.957343e-04	1.380093e-02	0	0	4.197459e+00	3.410875e+01	NFKBIA;CEBPB;MMP1;CCL20;IL1B;CXCL1;TAB2;CXCL3;CXCL2;MUC5AC
KEGG_2021_Human	NOD-like receptor signaling pathway	14/181	5.861099e-04	2.131605e-02	0	0	2.964742e+00	2.206362e+01	IL18;ITPR2;CXCL1;CXCL3;CXCL2;NFKBIA;IFI16;IL1B;NAMPT;CASP4;VDAC1;TAB2;DNM1L;CTSB
KEGG_2021_Human	Complement and coagulation cascades	9/85	6.090301e-04	2.131605e-02	0	0	4.169498e+00	3.086947e+01	C3;SERPINA1;SERPINE1;CD59;C4BPB;TFPI;CLU;CFB;CD55
KEGG_2021_Human	Glutathione metabolism	7/57	1.011400e-03	3.080806e-02	0	0	4.918007e+00	3.391664e+01	RRM2B;ANPEP;GSTP1;IDH1;GSR;GSTA1;MGST1
KEGG_2021_Human	Lipid and atherosclerosis	15/215	1.100288e-03	3.080806e-02	0	0	2.652711e+00	1.807076e+01	MMP1;SRC;IL18;TNFRSF10B;CXCL1;CXCL3;SOD2;CXCL2;ICAM1;TNFRSF1A;NFKBIA;CYP2B6;IL1B;TAB2;HSPA1A
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	9/100	1.947634e-03	4.957614e-02	0	0	3.479520e+00	2.171617e+01	CCL20;IL18;TNFRSF10B;CXCL1;CXCL3;IL2RG;CXCL2;TNFRSF10D;TNFRSF1A
KEGG_2021_Human	NF-kappa B signaling pathway	9/104	2.550952e-03	5.952222e-02	0	0	3.332325e+00	1.989828e+01	NFKBIA;IL1B;TRIM25;TAB2;CXCL1;CXCL3;CXCL2;ICAM1;TNFRSF1A
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	7/70	3.361216e-03	7.239541e-02	0	0	3.900564e+00	2.221548e+01	NFKBIA;SRC;CXCL1;TCIRG1;CXCL3;CXCL2;EGFR
KEGG_2021_Human	Fluid shear stress and atherosclerosis	10/139	5.735711e-03	1.147142e-01	0	0	2.726875e+00	1.407352e+01	NQO1;SDC4;SRC;ITGB3;IL1B;GSTP1;GSTA1;MGST1;ICAM1;TNFRSF1A
KEGG_2021_Human	Glycerolipid metabolism	6/61	7.018617e-03	1.290262e-01	0	0	3.824297e+00	1.896541e+01	DGKD;AKR1B10;ALDH2;GPAT3;LCLAT1;AGPAT4
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	2/5	7.372925e-03	1.290262e-01	0	0	2.326511e+01	1.142303e+02	HK2;HK1
KEGG_2021_Human	MAPK signaling pathway	16/294	8.876068e-03	1.424802e-01	0	0	2.031135e+00	9.595889e+00	DUSP4;EFNA5;EGFR;CDC25B;TNFRSF1A;EFNA1;MECOM;TAOK3;IL1B;MAP3K20;RAPGEF2;TAB2;TEK;MAP4K3;MAP4K4;HSPA1A
KEGG_2021_Human	Influenza A	11/172	9.159439e-03	1.424802e-01	0	0	2.403772e+00	1.128083e+01	NFKBIA;IL33;IFNGR1;IL1B;MX2;IL18;TRIM25;TNFRSF10B;VDAC1;ICAM1;TNFRSF1A
KEGG_2021_Human	Pyruvate metabolism	5/47	9.773334e-03	1.440281e-01	0	0	4.168601e+00	1.929269e+01	LDHB;ADH1C;ALDH2;ME2;ACAT2
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	5/48	1.066533e-02	1.449568e-01	0	0	4.071447e+00	1.848745e+01	UGDH;CYB5R3;UAP1;HK2;HK1
KEGG_2021_Human	Drug metabolism	8/108	1.087176e-02	1.449568e-01	0	0	2.808131e+00	1.269721e+01	CYP2B6;RRM2B;ADH1C;GSTP1;DPYD;GSTA1;MGST1;NME3
KEGG_2021_Human	ECM-receptor interaction	7/88	1.161523e-02	1.478302e-01	0	0	3.030954e+00	1.350423e+01	SDC4;ITGB3;DAG1;LAMB1;CD47;ITGA5;CD44
KEGG_2021_Human	Central carbon metabolism in cancer	6/70	1.344766e-02	1.637106e-01	0	0	3.284980e+00	1.415481e+01	LDHB;IDH1;HIF1A;HK2;EGFR;HK1
KEGG_2021_Human	Propanoate metabolism	4/34	1.441424e-02	1.681661e-01	0	0	4.663303e+00	1.977025e+01	LDHB;ECHDC1;ACAT2;HIBCH
KEGG_2021_Human	PPAR signaling pathway	6/74	1.732133e-02	1.939989e-01	0	0	3.091107e+00	1.253696e+01	CPT1A;MMP1;DBI;PLIN2;HMGCS2;ANGPTL4
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	6/76	1.951932e-02	2.088401e-01	0	0	3.002480e+00	1.181881e+01	CYP2B6;ADH1C;GSTP1;AKR1C1;GSTA1;MGST1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	11/193	2.013816e-02	2.088401e-01	0	0	2.124098e+00	8.294896e+00	C3;NFKBIA;IFNGR1;SRC;ITPR2;CXCL1;CXCL3;HIF1A;CXCL2;ICAM1;TNFRSF1A
KEGG_2021_Human	Hematopoietic cell lineage	7/99	2.102596e-02	2.102596e-01	0	0	2.667041e+00	1.030010e+01	ANPEP;ITGB3;IL1B;CD59;ITGA5;CD44;CD55
KEGG_2021_Human	Pathogenic Escherichia coli infection	11/197	2.302227e-02	2.222840e-01	0	0	2.077986e+00	7.836696e+00	NFKBIA;MYO1B;SRC;IL1B;CASP4;IL18;CLDN18;TNFRSF10B;TAB2;ARF6;TNFRSF1A
KEGG_2021_Human	Protein export	3/23	2.538318e-02	2.300121e-01	0	0	5.239478e+00	1.924811e+01	SEC61G;SRP54;SRPRA
KEGG_2021_Human	Endocytosis	13/252	2.546562e-02	2.300121e-01	0	0	1.912931e+00	7.021271e+00	SRC;ASAP2;ARFGAP3;IL2RG;EGFR;EEA1;GRK5;PARD3;KIF5B;PSD3;SNX5;ARF6;HSPA1A
KEGG_2021_Human	Synthesis and degradation of ketone bodies	2/10	3.024382e-02	2.481358e-01	0	0	8.722172e+00	3.051420e+01	HMGCS2;ACAT2
KEGG_2021_Human	Coronavirus disease	12/232	3.048134e-02	2.481358e-01	0	0	1.916669e+00	6.690404e+00	C3;NFKBIA;RPL36AL;RPS29;MMP1;IL1B;MX2;TAB2;RPS4Y1;CFB;EGFR;TNFRSF1A
KEGG_2021_Human	Glucagon signaling pathway	7/107	3.054003e-02	2.481358e-01	0	0	2.452663e+00	8.556647e+00	LDHB;PYGB;CPT1A;CREB3L3;PHKG1;CREB3L1;ITPR2
KEGG_2021_Human	Fatty acid degradation	4/43	3.155425e-02	2.481358e-01	0	0	3.585493e+00	1.239163e+01	CPT1A;ADH1C;ALDH2;ACAT2
KEGG_2021_Human	Insulin resistance	7/108	3.190318e-02	2.481358e-01	0	0	2.428254e+00	8.365455e+00	NFKBIA;PYGB;CPT1A;CREB3L3;PPP1R3B;CREB3L1;TNFRSF1A
KEGG_2021_Human	Necroptosis	9/159	3.489863e-02	2.640978e-01	0	0	2.104473e+00	7.061153e+00	PYGB;IL33;IFNGR1;IL1B;TNFRSF10B;VDAC1;DNM1L;PPID;TNFRSF1A
